Event number,Picked arrival,Tag,Arrival type,IRIS Event ID,file,file_start
38,2019-06-16 05:23:30.000,***,body,11049599,data\DonneesB23\2019-06\2019-06-15\2019-06-15T23_52_37.300000,2019-06-15 23:52:37
39,2019-06-17 06:08:15.000,***,body,11049903,data\DonneesB23\2019-06\2019-06-15\2019-06-15T23_52_37.300000,2019-06-15 23:52:37
40,2019-06-18 16:11:20.000,***,body,11050483,data\DonneesB23\2019-06\2019-06-15\2019-06-15T23_52_37.300000,2019-06-15 23:52:37
41,2019-06-19 07:08:00.000,***,body,11050823,data\DonneesB23\2019-06\2019-06-15\2019-06-15T23_52_37.300000,2019-06-15 23:52:37
42,2019-06-19 17:36:50.000,***,body,11050987,data\DonneesB23\2019-06\2019-06-15\2019-06-15T23_52_37.300000,2019-06-15 23:52:37
43,2019-06-24 03:05:40.000,***,body,11052554,data\DonneesB23\2019-06\2019-06-24\2019-06-24T02_59_31.075000,2019-06-24 02:59:31
44,2019-06-24 11:38:00.000,***,body,11052627,data\DonneesB23\2019-06\2019-06-24\2019-06-24T03_25_09.700000,2019-06-24 03:25:09
45,2019-06-27 11:18:00.000,S3,surface,11053874,data\DonneesB23\2019-06\2019-06-25\2019-06-25T23_07_08.100000,2019-06-25 23:07:08
46,2019-07-04 17:45:00.000,***,body,11056847,data\DonneesB23\2019-07\2019-07-04\2019-07-04T09_29_28.850000,2019-07-04 09:29:28
47,2019-07-06 03:30:30.000,***,body,11058875,data\DonneesB23\2019-07\2019-07-05\2019-07-05T14_55_53.675000,2019-07-05 14:55:53
48,2019-07-06 06:45:00.000,S3,surface,11058978,data\DonneesB23\2019-07\2019-07-05\2019-07-05T14_55_53.675000,2019-07-05 14:55:53
49,2019-07-14 09:23:40.000,***,body,11073718,data\DonneesB23\2019-07\2019-07-12\2019-07-12T09_49_39.125000,2019-07-12 09:49:39
50,2019-07-31 15:10:30.000,***,body,11089506,data\DonneesB23\2019-07\2019-07-31\2019-07-31T10_28_02.275000,2019-07-31 10:28:02
51,2019-08-01 18:38:30.000,***,body,11090197,data\DonneesB23\2019-07\2019-07-31\2019-07-31T10_28_02.275000,2019-07-31 10:28:02
52,2018-09-26 17:45:00.000,**,body,10952325,data\DonneesB23\2018-09\2018-09-26\2018-09-26T08_35_49.050000,2018-09-26 08:35:49
53,2018-10-09 08:00:00.000,**,body,10957286,data\DonneesB23\2018-10\2018-10-09\2018-10-09T02_53_18.375000,2018-10-09 02:53:18
54,2018-10-13 11:24:40.000,**,body,10958985,data\DonneesB23\2018-10\2018-10-13\2018-10-13T06_32_27.100000,2018-10-13 06:32:27
55,2018-10-29 07:04:40.000,**,body,10965132,data\DonneesB23\2018-10\2018-10-26\2018-10-26T00_09_49.800000,2018-10-26 00:09:49
56,2018-10-29 20:27:00.000,**,body,10965319,data\DonneesB23\2018-10\2018-10-26\2018-10-26T00_09_49.800000,2018-10-26 00:09:49
57,2018-10-29 23:35:00.000,**,body,10965401,data\DonneesB23\2018-10\2018-10-26\2018-10-26T00_09_49.800000,2018-10-26 00:09:49
58,2018-10-30 02:21:00.000,**,body,10965448,data\DonneesB23\2018-10\2018-10-26\2018-10-26T00_09_49.800000,2018-10-26 00:09:49
59,2018-11-01 22:30:20.000,**,body,10966680,data\DonneesB23\2018-10\2018-10-26\2018-10-26T00_09_49.800000,2018-10-26 00:09:49
60,2018-11-06 16:17:30.000,**,body,10968334,data\DonneesB23\2018-11\2018-11-04\2018-11-04T04_35_44.050000,2018-11-04 04:35:44
61,2018-11-10 08:38:25.000,**,body,10969935,data\DonneesB23\2018-11\2018-11-04\2018-11-04T04_35_44.050000,2018-11-04 04:35:44
62,2018-11-12 22:51:30.000,**,body,10970552,data\DonneesB23\2018-11\2018-11-12\2018-11-12T03_22_53.825000,2018-11-12 03:22:53
63,2018-11-14 21:35:00.000,**,body,10971336,data\DonneesB23\2018-11\2018-11-12\2018-11-12T03_22_53.825000,2018-11-12 03:22:53
64,2018-11-16 03:36:00.000,**,body,10971960,data\DonneesB23\2018-11\2018-11-15\2018-11-15T21_10_02.400000,2018-11-15 21:10:02
65,2018-11-24 15:50:00.000,**,body,10974188,data\DonneesB23\2018-11\2018-11-23\2018-11-23T18_29_28.525000,2018-11-23 18:29:28
66,2018-11-25 03:54:00.000,**,body,10974301,data\DonneesB23\2018-11\2018-11-23\2018-11-23T18_29_28.525000,2018-11-23 18:29:28
67,2018-11-25 06:21:00.000,**,body,10974322,data\DonneesB23\2018-11\2018-11-23\2018-11-23T18_29_28.525000,2018-11-23 18:29:28
68,2018-11-25 16:57:00.000,**,body,10974404,data\DonneesB23\2018-11\2018-11-23\2018-11-23T18_29_28.525000,2018-11-23 18:29:28
69,2018-11-26 00:30:00.000,**,body,10974477,data\DonneesB23\2018-11\2018-11-23\2018-11-23T18_29_28.525000,2018-11-23 18:29:28
70,2018-12-06 23:35:20.000,**,body,10981467,data\DonneesB23\2018-12\2018-12-06\2018-12-06T03_06_14.450000,2018-12-06 03:06:14
